"Costs for inland shipping","Costo per le spedizioni nazionali"
"Costs for shipping to foreign countries","Costo per le spedizoni internazionali"
"Custom text for checkout page","Testo personalizzato per la pagina di checkout"
"Cash on Delivery","Pagamento alla consegna (contrassegno)"
"Cash on Delivery fee","Tariffa contrassegno"
"You will be charged an extra fee of %s.","Sarà addebitata la tariffa aggiuntiva di %s."
"Incl. Tax","Incl. Tasse"
"Cash on Delivery fee (Excl.Tax)","Tariffa contrassegno (Escl.Tasse)"
"Cash on Delivery fee (Incl.Tax)","Tariffa contrassegno (Incl.Tasse)"
"Cash on Delivery fee %s","Tariffa contrassegno %s"
"Refund Cash on Delivery fee","Rimborso tariffa contrassegno"
